,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
50,"Lose You To Love Me","Selena Gomez",1498361,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
51,Evoluiu,"MC Kevin o Chris",1452936,https://open.spotify.com/track/0WhDotK0QXigmsrlw0DxKK
52,"Relógio Parado - Ao Vivo","Diego & Arnaldo",1450031,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
53,Lalala,Y2K,1424633,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
54,Brisa,IZA,1409554,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1
55,"Carreira Solo - Ao Vivo","Gusttavo Lima",1369382,https://open.spotify.com/track/6ZWkf3FDQQmyeel23ECpIP
56,"Dance Monkey","Tones and I",1363264,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
57,"Sei Lá",Projota,1357485,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM
58,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",1350397,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
59,"Intenção - Ao Vivo","Marília Mendonça",1339564,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG
60,"Solteiro Não Trai - Ao Vivo","Gustavo Mioto",1324799,https://open.spotify.com/track/7oEr56KG6odStlQH0nvdyr
61,Malemolência,"Dynho Alves",1302443,https://open.spotify.com/track/5rwdmpN5eMWIIwK4R96vv1
62,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",1290766,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
63,"Nem de Graça / Saudade Arregaça - Ao Vivo",Pixote,1289036,https://open.spotify.com/track/141xCZ6pvh4ymCsQkOFX80
64,"Estado Decadente - Acústico","Zé Neto & Cristiano",1272102,https://open.spotify.com/track/4eB8rsNNm5791m3uvEBNLR
65,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",1248406,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ
66,"Tiro Certo - Ao Vivo","Zé Felipe",1229595,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
67,"Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)",Dilsinho,1219454,https://open.spotify.com/track/2lm3Ric7MeBk8hLfsiVokr
68,"Bebe e Vem Me Procurar","Saia Rodada",1206651,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq
69,"Para não","MC WM",1202024,https://open.spotify.com/track/23GNCotvXa7WPvgYuruJjE
70,"Não Abro Mão - Ao Vivo","Maiara & Maraisa",1200911,https://open.spotify.com/track/3L2uyIJoJPjYkSETVNSPBQ
71,"Maldita de Ex","Mc Leozin",1189881,https://open.spotify.com/track/6Diq6oBnDVzsrNcRllXRbM
72,"Meu Abrigo",Melim,1186612,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
73,"Se Prepara 2","Mc Livinho",1179839,https://open.spotify.com/track/0CgMeXQiNYJxPVQ2EMJxdL
74,"Do jeito que tu gosta",Pk,1173482,https://open.spotify.com/track/34D0w6kVzuQ35vyHIFrWTC
75,"Onda diferente (feat. Papatinho)",Anitta,1171266,https://open.spotify.com/track/2H8ETIUEoN9YMf56X66bxd
76,Milu,"Gusttavo Lima",1170695,https://open.spotify.com/track/1nqaSoiLuqevDes4S18sO7
77,"Dois Enganados","Murilo Huff",1147411,https://open.spotify.com/track/72N0CRIAqjETbhghrkCUW2
78,Mantém,WIU,1125067,https://open.spotify.com/track/17rF54WvGGqPVxDheq8PP8
79,"In The Dark","Vintage Culture",1118109,https://open.spotify.com/track/3K16ZsnNjOTY1Esnrx0rQg
80,"Dois Lados","Wesley Safadão",1117655,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
81,"Na Cama Que Eu Paguei - Ao Vivo","Wesley Safadão",1115991,https://open.spotify.com/track/6hqQPoB1yYKcLfByfxO8he
82,"Ouvi Dizer",Melim,1109467,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
83,"Péssimo Negócio (Ao Vivo)",Dilsinho,1108977,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ
84,"Fingindo Maturidade - Ao Vivo","Mano Walter",1106618,https://open.spotify.com/track/3tU3UAasaDA9OixXGC3O33
85,"Ela É do Tipo","MC Kevin o Chris",1088554,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP
86,"Flor Que Se Cheira - Ao Vivo","Guilherme & Benuto",1083994,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG
87,"Vai menina","Pedro Sampaio",1066546,https://open.spotify.com/track/1oQppEGTHYN53xfEaTz4ua
88,"Mágica - Ao Vivo","Matheus & Kauan",1052791,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx
89,"Morena Cor do Pecado","MC Kevin o Chris",1051338,https://open.spotify.com/track/3N6isgIE6SAFbRfRIbQ3sd
90,"HIGHEST IN THE ROOM","Travis Scott",1039803,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
91,"Credo que delícia","MC Kevinho",1038599,https://open.spotify.com/track/4H9vyrlKZpzd1FW3oupnzD
92,"Apaixonadinha - Ao Vivo","Marília Mendonça",1023924,https://open.spotify.com/track/0rUL7vUZmCKxB0gS83W3aM
93,"Poesia Acústica #7: Céu Azul","Pineapple StormTv",1023286,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW
94,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",1015254,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
95,"Maturidade (feat. Matheus & Kauan)","Avine Vinny",1015030,https://open.spotify.com/track/64ePZsgVWO1zRVpHxY2VYC
96,"Trip do Boyzinho","Boyzinho o Rei da Bregadeira",1010091,https://open.spotify.com/track/41GMwa6sCB3iA2aS5T30iE
97,"Ciumeira - Ao Vivo","Marília Mendonça",1000901,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN
98,"Hoje Eu Beberei - Felipe Araújo In Brasília / Ao Vivo","Felipe Araújo",999078,https://open.spotify.com/track/4rnI4obabjGCPI2CCCs5VR
99,Circles,"Post Malone",979093,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
100,"I Don't Care (with Justin Bieber)","Ed Sheeran",973512,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
101,"Meu talismã",IZA,972655,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX
102,"Acende o Isqueiro",Orochi,970700,https://open.spotify.com/track/1DdEU9f7uXklMx6Dm0Mdwq
103,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,969472,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r
104,"Old Town Road - Remix","Lil Nas X",951297,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
105,"Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília","Diego & Victor Hugo",933237,https://open.spotify.com/track/7sl95MXCpM8WWsaH1BqvR3
106,"Deixa (feat. Ana Gabriela)",Lagum,930214,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
107,"Bomba Relógio","Luísa Sonza",920549,https://open.spotify.com/track/0HocIafyaS4C7rDGTJXYnj
108,"Someone You Loved","Lewis Capaldi",917431,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
109,"Atrasadinha - Ao Vivo","Felipe Araújo",913245,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
110,"Cidade Vizinha - Ao Vivo","Henrique & Juliano",903186,https://open.spotify.com/track/6pgoGpBkKUvXrrU95j0khl
111,"Um Pedido","Hungria Hip Hop",898690,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1
112,"Uma nora pra cada dia","MC Kevinho",895004,https://open.spotify.com/track/2bbFhnxYjeb9jYEX2MDKLQ
113,"50 Vezes - Ao Vivo","Sorriso Maroto",891986,https://open.spotify.com/track/01wavOnjFBNgdMWBFYIAP4
114,"bad guy","Billie Eilish",889698,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
115,"Bebaça - Ao Vivo","Marília Mendonça",888660,https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg
116,"Piece Of Your Heart",MEDUZA,887472,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
117,"Surtada - Versão Funk","DJ Dollynho Da Lapa",887140,https://open.spotify.com/track/450ngaSmjQMdJFVzCADNQB
118,"Look At Her Now","Selena Gomez",869409,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
119,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",849709,https://open.spotify.com/track/4pnlRYoaaGu24SuC3et5Pv
120,"Fica à vontade","Pedro Sampaio",846992,https://open.spotify.com/track/0h1mVA8gOPR71lxSeY67uT
121,"Até que enfim - Ao vivo",Ferrugem,844997,https://open.spotify.com/track/1zI3RU0boCVsAXChjCvESu
122,"Dois Corações",Melim,830988,https://open.spotify.com/track/4xwPOyN9VgaTPehdsLiYul
123,Believer,"Imagine Dragons",820515,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
124,Apimentadíssima,"Dennis DJ",816078,https://open.spotify.com/track/7yfVmOVRrstIgkNPz45tAJ
125,"Sem Sal - Ao Vivo","Marília Mendonça",814444,https://open.spotify.com/track/0EZuXcsnjEmGuRYdFdcctX
126,"Obrigado por Estragar Tudo - Ao Vivo","Marília Mendonça",812304,https://open.spotify.com/track/4a5GPCo8oX4vvaRkciKlih
127,"Não sou obrigada",POCAH,808565,https://open.spotify.com/track/0nkDm27DGppCSk8dnGtvPa
128,"Dona de mim",IZA,808206,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN
129,"Flash Pose","Pabllo Vittar",805614,https://open.spotify.com/track/5GsJcnO3rgpZFOrzL2EISO
130,"Namorada Reserva - Ao Vivo","Hugo & Guilherme",802150,https://open.spotify.com/track/5GHA824FwkHeBl5u1T6kLj
131,"Casa mais feliz da rua - Ao vivo","João Gustavo e Murilo",800037,https://open.spotify.com/track/2fvxmRWpeqZN8xatpB66pC
132,"Long Neck - Acústico","Zé Neto & Cristiano",799411,https://open.spotify.com/track/4Lxv5hGnHOUYBVeDgWgcaP
133,"Pedaço Meu - Ao Vivo","Cleber & Cauan",798044,https://open.spotify.com/track/3umEJoDv6XsoBKlmi7eGRg
134,Embrasa,Vitão,790602,https://open.spotify.com/track/4iANxSIDT3kGekiquMSAgT
135,"Bola Rebola",Tropkillaz,784603,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
136,"Tchau Tchau","Henrique & Diego",781302,https://open.spotify.com/track/1psCVg04oOY36IqUVyRfhO
137,Positividade,"Mc Bola",775854,https://open.spotify.com/track/1YAtg8jo5fR3Q01eO2jPTl
138,"Cem Mil - Ao Vivo","Gusttavo Lima",774613,https://open.spotify.com/track/5eMmT4Ava5BGThju0AD8vQ
139,"Onze e Pouquinho",Dilsinho,773475,https://open.spotify.com/track/65i9Mc7h1CG7ssI1OhMPcT
140,Edredom,Vitão,765649,https://open.spotify.com/track/0wryAFpQqHTvhteQx7ZNp2
141,Memories,"Maroon 5",762472,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
142,"Ponte Perra","Pabllo Vittar",754192,https://open.spotify.com/track/3pDmxI5F2cNRcTxOd89TjV
