,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"La Escuela No Me Gustó","Adriel Favela",927177,https://open.spotify.com/track/4qArKIA7dnmdushoBlkV94
56,"Con Calma","Daddy Yankee",922451,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
57,Tanto,"Jesse & Joy",921082,https://open.spotify.com/track/3bCuNSiaBHqxdevMYEnGpe
58,"Pa Mí - Remix",Dalex,909509,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
59,"Ahora Te Puedes Marchar","Luis Miguel",895241,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
60,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",887019,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
61,"Ya Me Enteré","Chayín Rubio",879615,https://open.spotify.com/track/4ggabbjjuHrG06SsYnqvEs
62,Prometiste,"Pepe Aguilar",871903,https://open.spotify.com/track/2UypFzxfaYgMUnQX2k4qtj
63,"Lost on You",LP,870174,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
64,Caballero,"Alejandro Fernandez",866649,https://open.spotify.com/track/5DL6BDuqhnQw8HfIvUYkm9
65,Aventura,Lunay,862711,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
66,"Adan y Eva","Paulo Londra",853405,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
67,"La Mujer Perfecta",KURT,851231,https://open.spotify.com/track/5XR1WyZ0uOSHRNhP85QxT4
68,"bad guy","Billie Eilish",850754,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
69,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",842850,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
70,"Primer Avión",Matisse,840576,https://open.spotify.com/track/1CaBwYdWhxUeE4j3w0WqbL
71,"Nunca Es Suficiente","Los Angeles Azules",828400,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
72,"Verte Ir","DJ Luian",813654,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
73,Aleluya,Reik,809074,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM
74,"Me Rehúso","Danny Ocean",800006,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
75,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",798997,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
76,"Simplemente Gracias","Calibre 50",785071,https://open.spotify.com/track/3K6noLeoPTQJ5jUErC8jT5
77,Atrévete,"Nicky Jam",783082,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
78,Brillas,"León Larregui",781954,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
79,"La Boca","Mau y Ricky",777125,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
80,"Me Dediqué a Perderte","Alejandro Fernandez",770541,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
81,"Te Robaré","Nicky Jam",762118,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
82,"Miami Vibe","Adriel Favela",758151,https://open.spotify.com/track/6ZUBqOrjrdmkP4eLQLBeaq
83,"En Peligro de Extinción","La Adictiva Banda San José de Mesillas",755811,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY
84,"Ella Quiere Beber - Remix","Anuel AA",755692,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
