song_title,Use This Gospel
stream_count,17392
za,za
artist,Bazzi
song_title,I.F.L.Y.
stream_count,17321
za,za
artist,Anne-Marie
song_title,2002
stream_count,17285
za,za
artist,Khalid
song_title,Talk (feat. Disclosure)
stream_count,17241
za,za
artist,Halsey
song_title,Without Me
stream_count,17074
za,za
artist,Summer Walker
song_title,Playing Games (with Bryson Tiller) - Extended Version
stream_count,17008
za,za
artist,Ava Max
song_title,Sweet but Psycho
stream_count,16954
za,za
artist,Ali Gatie
song_title,It's You
stream_count,16904
za,za
artist,Lil Tecca
song_title,Ransom
stream_count,16778
za,za
artist,Kanye West
song_title,Everything We Need
stream_count,16765
za,za
artist,Jonas Brothers
song_title,Sucker
stream_count,16708
za,za
artist,Lady Gaga
song_title,Shallow
stream_count,16612
za,za
artist,Martin Garrix
song_title,Used To Love (with Dean Lewis)
stream_count,16584
za,za
artist,Sun-El Musician
song_title,Into Ingawe
stream_count,16402
za,za
artist,Marshmello
song_title,Here With Me
stream_count,16243
za,za
artist,Post Malone
song_title,Wow.
stream_count,15912
za,za
artist,Bazzi
song_title,Paradise
stream_count,15740
za,za
artist,Samthing Soweto
song_title,AmaDM
stream_count,15547
za,za
artist,Lauv
song_title,Feelings
stream_count,15503
za,za
artist,Coldplay
song_title,Orphans
stream_count,15212
za,za
artist,Mfr Souls
song_title,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)"
stream_count,14922
za,za
artist,KayGee DaKing
song_title,Kokota
stream_count,14729
za,za
artist,Kanye West
song_title,God Is
stream_count,14633
za,za
artist,Lil Mosey
song_title,Stuck In A Dream (feat. Gunna)
stream_count,14530
za,za
artist,BTS
song_title,Make It Right (feat. Lauv)
stream_count,14512
za,za
artist,Katy Perry
song_title,Harleys In Hawaii
stream_count,14499
za,za
artist,Kanye West
song_title,Water
stream_count,14482
za,za
artist,Billie Eilish
song_title,lovely (with Khalid)
stream_count,14425
za,za
artist,Ellie Goulding
song_title,Close To Me (with Diplo) (feat. Swae Lee)
stream_count,14260
za,za
artist,Dean Lewis
song_title,Be Alright
stream_count,14159
za,za
artist,TOTO
song_title,Africa
stream_count,14139
za,za
artist,Drake
song_title,Behind Barz - Bonus
stream_count,14087
za,za
artist,YNW Melly
song_title,223's (feat. 9lokknine)
stream_count,14086
za,za
artist,Taylor Swift
song_title,ME! (feat. Brendon Urie of Panic! At The Disco)
stream_count,13989
za,za
artist,The Chainsmokers
song_title,This Feeling
stream_count,13764
za,za
artist,The Chainsmokers
song_title,Who Do You Love
stream_count,13742
za,za
artist,Leon Schuster
song_title,Hie' Kommie Bokke
stream_count,13701
za,za
artist,J. Cole
song_title,MIDDLE CHILD
stream_count,13653
za,za
artist,Blaq Diamond
song_title,Ibhanoyi
stream_count,13575
za,za
artist,Kanye West
song_title,Every Hour
stream_count,13433
za,za
artist,Why Don't We
song_title,What Am I
stream_count,13422
za,za
artist,Prince Kaybee
song_title,Fetch Your Life - Edit
stream_count,13400
za,za
artist,Selena Gomez
song_title,Back To You - From 13 Reasons Why – Season 2 Soundtrack
stream_count,13364
za,za
artist,Avicii
song_title,SOS (feat. Aloe Blacc)
stream_count,13362
za,za
artist,Khalid
song_title,Saturday Nights
stream_count,13344
za,za
artist,Travis Scott
song_title,SICKO MODE
stream_count,13336
za,za
artist,Elaine
song_title,You're the One
stream_count,13264
za,za
artist,Kanye West
song_title,Hands On
stream_count,13217
za,za
artist,Summer Walker
song_title,Girls Need Love (with Drake) - Remix
stream_count,13145
za,za
artist,Taylor Swift
song_title,Lover
stream_count,13039
za,za
artist,Ariana Grande
song_title,7 rings
stream_count,13038
za,za
artist,DJ Maphorisa
song_title,Koko
stream_count,13001
za,za
artist,21 Savage
song_title,Immortal
stream_count,12982
za,za
artist,James Arthur
song_title,Say You Won't Let Go
stream_count,12894
za,za
artist,Sam Feldt
song_title,Post Malone (feat. RANI)
stream_count,12870
za,za
artist,Post Malone
song_title,rockstar (feat. 21 Savage)
stream_count,12856
za,za
artist,Imagine Dragons
song_title,Bad Liar
stream_count,12748
za,za
artist,Lauv
song_title,i'm so tired...
stream_count,12685
za,za
artist,Ariana Grande
song_title,boyfriend (with Social House)
stream_count,12647
za,za
artist,Post Malone
